City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Ushuaia,-54.8,-68.3,46.06,53,0,13.8,AR,1635648624
Arraial do Cabo,-22.9661,-42.0278,70.47,90,100,16.28,BR,1635648635
Kassala,15.451,36.4,80.35,39,0,6.98,SD,1635648635
Båtsfjord,70.6345,29.7185,36.66,84,99,9.91,NO,1635648635
Salalah,17.0151,54.0924,76.84,61,33,3.8,OM,1635648636
Punta Arenas,-53.15,-70.9167,42.91,70,0,4.61,CL,1635648636
Crowley,30.2141,-92.3746,62.56,90,0,3.42,US,1635648487
Mataura,-46.1927,168.8643,44.92,94,100,11.7,NZ,1635648636
Castro,-24.7911,-50.0119,59.43,97,100,10.67,BR,1635648637
Faanui,-16.4833,-151.75,78.94,66,43,14.63,PF,1635648637
Katsuura,35.1333,140.3,65.1,75,98,8.21,JP,1635648637
Esperance,-33.8667,121.9,78.64,40,2,4.56,AU,1635648638
Hobart,-42.8794,147.3294,62.02,54,75,5.99,AU,1635648565
Namtsy,62.7161,129.6658,-3.89,89,83,6.26,RU,1635648638
Chaoyang,41.5703,120.4586,44.02,57,99,12.17,CN,1635648638
Port Alfred,-33.5906,26.891,63.72,81,58,4.59,ZA,1635648403
Busselton,-33.65,115.3333,69.04,61,98,6.49,AU,1635648575
Yellowknife,62.456,-114.3525,27.41,94,40,9.22,CA,1635648639
Maniitsoq,65.4167,-52.9,35.69,94,100,21.81,GL,1635648639
Avarua,-21.2078,-159.775,77.05,61,20,10.36,CK,1635648639
Ostrovnoy,68.0531,39.5131,34.39,96,100,2.06,RU,1635648640
Algodones,20.3888,-105.4773,72.68,88,9,4.07,MX,1635648640
Broome,42.2506,-75.833,53.37,80,20,1.01,US,1635648640
Tasiilaq,65.6145,-37.6368,18.66,66,100,4.09,GL,1635648640
Evensk,61.95,159.2333,13.53,73,100,10.89,RU,1635648641
Khatanga,71.9667,102.5,5.41,96,100,1.97,RU,1635648641
Muros,42.7762,-9.0603,67.23,91,100,19.69,ES,1635648641
Qaanaaq,77.484,-69.3632,1.13,58,0,7.2,GL,1635648642
Dikson,73.5069,80.5464,6.19,90,94,15.08,RU,1635648562
